"Mutations to mutants (GC1)" "Mutants (GC1)" "Mutations to Mutators (GC1)" "Mutators (GC1)" "Mutations to mutant mutators (GC1)" "Mutator_mutants (GC1)" "Mutations to mutants (GC2)" "Mutants (GC2)" "Mutations to Mutators (GC2)" "Mutators (GC2)" "Mutations to mutant mutators (GC2)" "Mutator_mutants (GC2)" "Mutations to mutants (GC3)" "Mutants (GC3)" "Mutations to Mutators (GC3)" "Mutators (GC3)" "Mutations to mutant mutators (GC3)" "Mutator_mutants (GC3)"
887 5922 86080 936667 417 3363 843 25216 86099 1571225 336 2685 837 38433 85962 2465647 406 1795
838 7740 86115 1460287 703 3854 846 8254 85400 2308589 366 2032 856 5443 86173 3244793 361 19783
868 5815 85739 1313765 598 4048 852 6086 85904 2013540 341 5800 865 19128 85447 2800637 331 14252
812 5598 85949 2179589 1107 59310 891 6695 86363 3028784 368 109379 860 26869 85765 3964848 350 67881
881 8595 85986 946450 455 1753 863 15373 85646 1967569 362 9785 837 9273 85907 2891471 351 35764
872 16908 85409 825365 396 1711 909 17946 86029 1571530 372 12237 828 6003 85867 2344654 376 23026
868 11567 85547 1695363 819 5310 832 15566 86128 2138693 381 5535 875 22937 86001 2923233 394 8597
850 13319 86034 1042024 519 2885 866 8758 85099 1690641 309 1422 877 17075 86106 2223560 352 1468
833 5603 85944 917251 409 2578 884 9668 86218 1796711 412 4320 851 40981 85855 2753373 381 1432
809 5248 85951 3180606 1525 10052 916 5101 86058 3796052 405 21905 840 63426 85747 4093326 392 76992
847 8510 85786 1579607 799 4189 906 24328 85901 2370472 351 2400 871 40756 85402 3159273 338 1230
885 4435 85781 925912 411 1780 878 5789 85941 1604630 341 1901 870 43477 86030 2422168 370 1301
817 8721 85968 1070866 475 3140 865 60634 86320 1781655 370 2171 871 52305 86102 2597184 363 1483
831 10381 86136 1160234 542 2479 864 6978 86069 2190569 368 1840 837 14557 86736 2695112 346 3088
931 9267 85648 794518 354 2050 823 32113 85696 1698997 410 1713 839 56530 86252 2741554 390 2257
865 7661 85865 1096989 501 2836 881 4725 85794 1938027 356 1836 862 9073 85950 3085348 362 1455
880 4304 86256 853989 401 2215 849 41068 86191 1640802 326 2100 835 38373 85413 2121724 334 1606
864 30732 85728 1325054 632 6785 899 70812 85941 1981614 348 2601 864 68175 85968 2506725 356 1465
826 5285 86008 903211 433 2936 845 7167 85826 1733076 370 1527 894 18500 86285 2481803 421 5338
809 6626 85697 882147 426 2493 826 19513 85644 1608200 340 7351 876 24134 85863 2384267 373 1505
863 4858 85539 1123108 539 2234 851 7471 86022 1793275 333 17021 894 4385 86441 2624173 377 2294
792 5942 85715 812380 367 3444 868 8146 86304 1663236 403 1464 810 5833 86048 2356369 375 5442
873 15900 85959 2212902 1126 9060 847 7428 85997 3007335 328 43269 876 16211 86100 3752940 328 59439
881 4663 85777 1391198 659 3499 862 35068 85696 2137745 358 17225 858 17168 85750 3011029 387 23110
